季節予報,決定論的予測を用いている,確率的予測
季節予報,予報区分は、府県単位で行われる,ちがう
季節予報,平年並み、過去30年間の値のうち、6番目から25番目までの範囲のことを言う,過去30年  11番目から20番目
季節予報,気候的出現率、過去30年間の平年値から、ある分散の範囲内に入る確率から求められる。,去30年間の値では３つの階級それぞれの出現回数が10回ずつとなり
季節予報,気温、降水量などを3つの階級に分け、どの範囲に入るかを確率を使って予報する。,
季節予報,「高いとなる確率が80％」という予報と、「「高い」となる確率が40％」という予報を比べると、80％の方が気温の平年差が大きいと予測している,わけではない
季節予報,5種類存在する,1ヶ月 3ヶ月 暖候期予報 寒候期予報の4種類
季節予報,暖候期予報は6月～7月の梅雨の時期である,6月から8月
季節予報,寒候期予報は、11月から3月である,12月から２月
季節予報,１ヶ月予報の予測手法は、数値予報と統計的手法を用いている。,数値予報のみ
季節予報,アンサンブル予報は用いていない,用いている
季節予報,３ヶ月予報は、数値予報と統計的手法を用いている。,
季節予報,一ヶ月予報では、週毎の合計降水量を発表される,一ヶ月合計降水量
季節予報,一ヶ月予報では、週毎の平均気温が発表される,"されない 1,2,3-4週平均気温"
季節予報,一ヶ月予報は、毎週水曜の15時に発表される,毎週木曜 14:30
季節予報,暖候期寒候期予報では、月ごとの合計降水降雪量が発表される,期間の合計降水 降雪量のみ発表される。
季節予報,暖候期予報は、毎年３月２4日14時に発表される,2月25日 14時
季節予報,寒候期予報は、毎年８月24日14日に発表される,9/25 14時
季節予報,予報区分は、全般季節予報と地方季節予報がある。,
季節予報,全般季節予報の発表所管は国土交通省である,気象庁気候情報課
季節予報,地方季節予報の発表所管は気象庁である,気象庁気候情報課と各地方気象台
季節予報,４つの予報すべて同じ数値予報モデルを用いて予想している,していない
季節予報,１ヶ月予報には、初期から大気海洋結合モデルを用いている,初期には海洋状態は固定 １０日を超える期間については、大気海洋結合モデルで計算した値を取り込む
高温注意情報,毎年４月第一週水曜日から１０月第４水曜日の期間である,毎年４月第４週水曜日から
高温注意情報,当日の最高気温が概ね３０度以上になることが予想される場合に発表される,翌日または当日の35度
高温注意情報,前日17時過ぎに府県単位の情報が発表される,前日は地方単位
高温注意情報,当日の6時過ぎから18時頃まで府県単位の情報を発表する,5時から17時
スモッグ気象情報,光化学スモッグの発生しやすい気象状態が予想される場合に、気象庁から発表される,各地域の気象官署
スモッグ気象情報,府県予報区ごとに発表される,関東と九州北部（山口県含む）では、地域や時間帯を絞った情報が発表される。
スモッグ気象情報,全般スモッグ気象情報は、各気象台から発表される,気象庁
スモッグ気象情報,当日から夕方までの注意を呼びかけている,翌日の日中もある
光化学スモッグ,晴れて気温が低く風が弱い ときに発生しやすい,気温が高い
光化学スモッグ,光化学オキシダントの濃度は気象庁が測定している,各自治体
ひまわり8号,極軌道衛星である,静止衛星
ひまわり8号,見える範囲の地球全体の観測を5分ごとに行う,10分
ひまわり8号,日本域と台風などの特定の領域を5分ごとに観測することができる,2.5分
ひまわり8号,可視光画像の分解能は1~1.5km,0.5~1km
ひまわり8号,赤外画像の分解能は2km～3km,1～2km
ひまわり8号,観測は、内部の走査鏡を動かして地球を東から順番に南北に捜査する,北から順に東西に
ひまわり8号,地球観測と画像配信だけ行っている,船舶・離島で観測されたデータを中継する役割もある
客観解析,不規則に分布した観測データから、規則的な格子点での大気の状態を与える過程,
アンサンブル予報,複数の初期時刻からの結果を用いている,一つの初期時間 ばらつきをもたせた初期状態
最大風速,5分間平均風速の最大値,10分
風速,5分間平均速度,10分
最大瞬間風速,瞬間風速の最大値,
瞬間風速,風速計の測定値を10秒平均した値,3秒
風速計,風速計の測定値は、0.2秒間隔で取得している。,0.25秒
風が静穏,風力０（風速0.2m/s未満),0.3m/s未満
用語,春一番、春から夏への移行期に、初めて吹く温かい南よりの強い風,冬から春
用語,木枯らし、、初冬に服北寄りの強い風,晩秋から初冬
用語,メソサイクロン、積乱雲の中に発生する、直径数キロほどの低気圧の渦,直径数キロから十数キロほど
用語,マイクロバースト、ダウンバーストを水平方向の風の広がりで、５キロメートル以下,４キロ未満
藤田スケール,F1～F5の５段階である,F0～５の６段階
藤田スケール,それぞれの階級は、３秒間の平均風速を基準にしている,階級ごとに秒数が異なる
藤田スケール,風速から被害を推定するために考案された指標,被害の状況から風速を大まかに推定するために考案された
改良藤田スケール,F1～F5の５段階である,F0～５の６段階
改良藤田スケール,それぞれの階級は、様々な時間間隔の平均風速を基準にしている,３秒平均
改良藤田スケール,アメリカで生まれた藤田スケールを日本の建築物等の被害に対応した。,
用語,局地的大雨とは、急に強く降り、数時間にわたって狭い範囲に数十mm程度の雨量をもたらす,数十分の短時間 単独の積乱雲が発達することによって起
用語,集中豪雨、急に強く降り、数十分の短時間に狭い範囲に数十mm程度の雨量をもたらす雨。,同じような場所で数時間にわたり強く降り、100mmから数百mmの雨量をもたらす雨
用語,あられ直径5mm以上,5mm未満
用語,凍雨、雨粒が凍って落下する透明の氷の粒 予報文では雨として扱う,雪として扱う
用語,氷霧、微細な氷の結晶が大気中に浮遊して視程が１km未満となっている状態。予報では「雪」とする,霧とする
用語,しゅう雨、対流性の雲から降る雨,
用語,濃霧、視程が陸上でおよそ100m、海上で500m以下の霧。,
用語,霧、微小な浮遊水滴により視程が0.5km未満の状態。,1km未満
用語,日照時間、全周なんとかが、1.2kw/m2以上を観測した時間,直達日射 0.12kw/m2
用語,密接度、海氷域内のある領域を対象として、氷に覆われている海面の割合。,
用語,海氷域、海氷のある海域で、密接度1/5以上,1/10以上
用語,流氷初日、海域から漂流してきた流氷が、視界内の界面で初めてみられた日,
用語,全氷量、観測地点における領域内に対して海氷の占める面積の割合 １０分位,視界内の全開域（構内を含める
用語,海明け、全氷量が６以下になり、かつ沿岸水路ができて船舶の高校が可能になった最初の日,５以下
用語,春の訪れが早（遅）い、３月の最高気温が「高い（低い）」と予想されるときである。,３月の平均気温   季節予報と３ヶ月予報で用いる
用語,冬の訪れが早い、季節予報では、11月の最低平均気温が「低い」と予想されるとき。,平均気温が「低い」と予想される 季節予報と３ヶ月予報でも用いられる。
用語,初雪、８月1日から翌年の7月31日までに初めて降る雪。,
用語,初雪、みぞれでは初雪言われない,言われる
用語,平年値、現在(2021/2/7)の平年値は、1990～2020の観測値を用いている,1981年～2010年
用語,降水確率、5mm以上の雨または雪の降る確率の平均値,1mm
用語,降水確率０％、降水確率が10％未満のこと,5%未満
用語,降水確率０％、１００回発表されたとき100回 雨がふらないことを言う,1mm未満の降水予測である場合は、降水確率０％でもよい
